run_id,run_source,dry_run,git_branch,git_commit_sha,trade_date,decision_timestamp_et,execution_timestamp_et,clock_is_open,clock_timestamp_et,next_open_et,next_close_et,seconds_to_open,signal_date,qqq_open,qqq_high,qqq_low,qqq_close,ma250,ma50,ann_vol,base_regime,confirmed_regime,final_regime,raw_target_weight,use_ma_confirmation,use_vol_targeting,vol_target_annual,max_position_pct,tqqq_leverage,max_effective_exposure,target_instrument,target_shares,target_notional_est,price_estimate,price_estimate_source,equity_before,cash_before,buying_power_before,last_equity,daily_pnl_pct,tqqq_qty_before,tqqq_mv_before,sqqq_qty_before,sqqq_mv_before,equity_after,cash_after,tqqq_qty_after,sqqq_qty_after,status,reason_code,orders_submitted,orders_filled,error_message,kill_switch_triggered,kill_switch_reason,duplicate_guard_hit,already_at_target
549d71e4-ed45-4838-a1d2-9503decf3bfc,github-pre,False,main,0108903,2026-03-05,2026-03-05T10:00:35.351020-05:00,2026-03-05T10:00:35.433058-05:00,True,2026-03-05 10:00:35.102692-05:00,2026-03-06 09:30:00-05:00,2026-03-05 16:00:00-05:00,84565,2026-03-05,607.4,612.27,607.37,612.2397,565.3801188000001,615.708394,0.17412873243267127,bull,bull,bull,2.0,True,True,0.45,2.0,3.0,3.0,TQQQ,1316,66628.95,50.6299,daily_bar_close,100000.0,100000.0,100000.0,100000.0,0.0,,,,,100000.0,100000.0,,,SUBMITTED,REBALANCE,1,0,,,,,
d8a91627-ff53-48fb-ad8c-a4bb049590ec,github-pre,False,main,640f4b6,2026-03-05,2026-03-05T10:31:35.733671-05:00,2026-03-05T10:31:35.817584-05:00,True,2026-03-05 10:31:35.339165-05:00,2026-03-06 09:30:00-05:00,2026-03-05 16:00:00-05:00,82705,2026-03-05,607.4,612.76,606.4278,606.61,565.3575999999999,615.5958,0.1758956462048712,bull,bull,bull,2.0,True,True,0.45,2.0,3.0,3.0,TQQQ,1353,66621.72,49.24,daily_bar_close,100000.0,100000.0,100000.0,100000.0,0.0,,,,,99997.35,33416.22,1353,0,SUBMITTED,REBALANCE,1,1,,,,,
3c3362d2-7262-4909-99e9-4398e19e3897,github-post,False,main,2822bd4,2026-03-05,2026-03-05T10:33:37.590165-05:00,2026-03-05T10:33:37.590165-05:00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,100207.07,33416.22,33416.22,100000.0,0.002071,1353,66790.845,0,0.0,100207.07,33416.22,1353,0,RECONCILED,RECONCILE,2,1,,,,,
8f719937-1ebc-41af-a665-7f2e24dbdd56,github-pre,False,main,2d91fc2,2026-03-05,2026-03-05T11:15:17.556487-05:00,,True,2026-03-05 11:15:17.089533-05:00,2026-03-06 09:30:00-05:00,2026-03-05 16:00:00-05:00,80083,2026-03-05,607.4,612.76,606.07,607.4,565.36076,615.6116000000001,0.17528075411418045,bull,bull,bull,2.0,True,True,0.45,2.0,3.0,3.0,TQQQ,1352,66856.4,49.45,position_current,100322.07,33416.22,33416.22,100000.0,0.003221,1353,66905.85,0,0.0,100322.07,33416.22,1353,0,AT_TARGET,NO_ACTION,0,0,,,,,True
b82ca830-7690-4a3d-98fa-baf270fa798d,github-pre,False,main,a2c90c7,2026-03-06,2026-03-06T09:40:07.095161-05:00,,True,2026-03-06 09:40:06.564792-05:00,2026-03-09 09:30:00-04:00,2026-03-06 16:00:00-05:00,254993,2026-03-06,600.31,601.48,598.54,600.22,565.80052,615.2620000000001,0.1742978131337953,bull,bull,bull,2.581787986373466,True,True,0.45,3.0,3.0,3.0,,0,,,,97934.03,33416.22,33416.22,100795.62,-0.02839,1353,64517.805,0,0.0,,,,,HALTED,KILL_SWITCH_DAILY_LOSS,0,0,,True,"KILL_SWITCH: daily loss 2.84% >= limit 2.00% (equity=97934.03, last_equity=100795.62)",,
aace065c-7c9c-4cef-a5ae-c346d7c65b85,github-post,False,main,46ed7ea,2026-03-06,2026-03-06T09:41:27.524938-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,97832.55,33416.22,33416.22,100795.62,-0.029397,1353,64416.33,0,0.0,97832.55,33416.22,1353,0,SKIPPED,NO_ORDERS_TO_RECONCILE,0,0,,,,,
950cb2e7-98d5-4dbc-8fd5-08005866b948,github-pre,False,main,e5045f4,2026-03-06,2026-03-06T10:04:36.151430-05:00,,True,2026-03-06 10:04:35.818173-05:00,2026-03-09 09:30:00-04:00,2026-03-06 16:00:00-05:00,253524,2026-03-06,600.31,602.56,598.54,602.0,565.80764,615.2976,0.171334896621591,bull,bull,bull,2.6264351797162884,True,True,0.45,3.0,3.0,3.0,,0,,,,98366.99,33416.22,33416.22,100795.62,-0.024095,1353,64950.765,0,0.0,,,,,HALTED,KILL_SWITCH_DAILY_LOSS,0,0,,True,"KILL_SWITCH: daily loss 2.41% >= limit 2.00% (equity=98366.99, last_equity=100795.62)",,
97acfc26-e435-4e18-9cc9-dc8fc3651a55,github-post,False,main,692f9e1,2026-03-06,2026-03-06T10:21:41.602455-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,98752.45,33416.22,33416.22,100795.62,-0.02027,1353,65336.2347,0,0.0,98752.45,33416.22,1353,0,SKIPPED,NO_ORDERS_TO_RECONCILE,0,0,,,,,
1bb93776-a3ec-4c32-80f4-a2d7e3ea2263,github-pre,False,main,3150f17,2026-03-09,2026-03-09T11:36:51.671383-04:00,2026-03-09T11:36:51.704986-04:00,True,2026-03-09 11:36:51.152216-04:00,2026-03-10 09:30:00-04:00,2026-03-09 16:00:00-04:00,78789,2026-03-09,594.225,599.48,591.33,598.2939,566.3008956000001,614.776278,0.15699695650753492,bull,bull,bull,2.8662976022621347,True,True,0.45,3.0,3.0,3.0,TQQQ,1970,92826.4,47.12,position_current,97169.58,33416.22,33416.22,97737.84,-0.005814,1353,63753.36,0,0.0,97231.57,4336.22,1970,0,SUBMITTED,REBALANCE,1,1,,,,,
8ff0bb11-51a9-4101-944a-ba4387c81355,github-post,False,main,90ed049,2026-03-09,2026-03-09T11:54:26.045069-04:00,2026-03-09T11:54:26.045069-04:00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,97793.02,4336.22,4336.22,97737.84,0.000565,1970,93456.8,0,0.0,97793.02,4336.22,1970,0,RECONCILED,RECONCILE,1,1,,,,,
